JUDGMENT,Summarized_text,Labels,Scores
" Nanavati, J. The  appellant has been convicted under Section 21  of the  Narcotic  Drugs  and Psychotropic  Substances  Act  and sentenced  to suffer rigorous imprisonment for 10 years  and to  pay  afine  of Rs.l lakh.  His conviction by  the  trial court  has  been  confirmed  by the  High  Court.   He  has, therefore, filed this appeal. The  facts  as  found by the trial court are  that  on 27.12.83,  the appellant was found in possession of 100 mgs. of  brown  sugar.   It was at about 1.25 p.m.  when  he  was passing  on a road.  Though it 1s not very clear as to  what exactly  was  the explanation given him to them, it  appears from  cross-examination  of the witnesses and the  statement recorded  under  Section 313 Cr.P.C.  that he had  purchased the  said quantity from one Mattancharry Rafeeque for a  sum of  Rs,25/-  for  his   personal  consumption.   Though  the quantity found was ’small quantity’, the Trial Court refused to give benefit of Section 27 of the Act to the appellant on the  ground that he had failed to establish that It was  for his  personal consumption.  The Trial Court proceeded on the basis  that  the appellant possessed the same for  sale  and convicted  him under Section 21 of the Act.  The High  Court also  adopted the saroe line of reasoning and confirmed  the finding recorded by the Trial Court. What  1s  contended  by the learned  counsel  for  the appellant  1s  that  the  courts  below  have  not  properly considered   the  defence  raised  by  the  appellant.    He submitted  that even though he had raised the plea that  the quantity  of 100 mgs.  was ’small quantity’ and it was  kept for  his personal consumption, the trial court rejected  the said  plea  on  the ground that no evidence was led  by  the appellant to prove his defence and that if the appellant was an  addict  to brown sugar, one would havs found  withdrawal symptoms in him but no sJch tendencies were exhibited by the appellant at any stage of trial. The  prosecution  had led no evidence to show that  he was  an addict or that he was regularly taking brown  sugar. Therefore,  it  was not proper to reject the defence of  the appellant  on the ground that during the trial the appellant was  in custody and could not have consumed brown sugar  and yet  he did not exhibit withdrawal symptoms.  It is also not in  dispute  that  the quantity which he  was  carrying  was http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 ’small quantity’.  The value of it was only Rs.25/-.  It is, therefore,  doubtful if such a small quantity was  purchased by him for sale and make any profit out of it.  In any case, there is no evidence on the basis of which such an inference can be drawn.  These aspects have not been considered by the trial  court and the High Court.  We are of the opinion that this appeal deserves to be allowed and the conviction of the appellant  deserves to be altered from Section 21 to Section 27 of the NDPS Act. We  accordingly  allow  this   appeal  and  alter  the conviction  of  the appellant from under Section 21  to  one under Section 27 of the NDPS Act and also alter the sentence of  10 years rigorous imprisonment and a fine of Rs.  1 lakh to  rigorous  imprisonment  for  one  year  and  a  fine  of Rs.5,000/-.   In  default of payment of fine, the  appellant shall  suffer  further  imprisonment for a period  of  three months. The appeal is allowed accordingly.",The appellant was found in possession of 100 mgs. of brown sugar. He was convicted under Section 21 of the Narcotic  Drugs and Psychotropic Substances Act. The High Court also adopted the saroe line of reasoning and confirmed the finding recorded by the Trial Court.,appointment,24.29
" J U D G M E N T Nanavati, J. After hearing the learned counsel for the appellant and going through  the judgment  of the High Court, we find that the view  taken by  the High  Court is quite reasonable and, Therefore, it  does not  call for  any interference  by this Court. The  Trial   Court  believed   the  evidence  regarding presence of  accused Kuldip  Singh and  his participation in the assault  on the  deceased. The  High Court  on the other hand has  not believed  his presence  at  the  time  of  the incident. This  is a  finding of  fact and  we have  now  to proceed on  that basis.  Once it is accepted that he was not present, obviously  he could  not have taken any part in the assault on  the deceased  and, therefore,  the  question  of exceeding the  right of  private defence  can not arise. For this reason, the appeal is dismissed.","The High Court has not believed  his presence at the time of the incident. Once it is accepted that he was not present, obviously  he could  not have taken any part in the assault on  the deceased. For this reason, the appeal is dismissed.",transfer,38.31
" O R D E R Leave granted.  We have  heard learned  counsel on both sides. This appeal  by special  leave arises from the Judgment of  the   High  Court  of  Orissa,  made  on  13.9.1993.  in Miscellaneous Appeal No. 384/90. Ballav Kumar Sethi, a young man of 24 years was fatally knocked down by oil Tanker bearing registration No. TCV 667. The appellant claimed a sum of Rs.1 lakh towards the loss of the estate  of the deceased and the support to the appellant as dependent  of the deceased. the claim under section 110-A of the Motor Vehicle Act, 1939 was laid on April 30, 1983. The Tribunal  delivered the  judgment awarding a sum of Rs. 1,00,000/-  to the  appellant which  was confirmed under appeal by the High Court enhancing the same by a further sum of Rs. 18,000\-. The principle  of determination  of the compensation in the case  of fatal  accident was determined by this Court in U.P. State  Road Transport  Corporation &  Ors.  vs.  Trilok Chandra &  ors.   [(19960 4    SCC  362].    This  court  in Paragraph 18 , after considering the tabulations, found that the maximum multiplier of purchaser was as under: ""What   we propose  to emphasise is that the  multiplier cannot  exceed 18 years’  Purchase factor. This is the improvement  over  the  earlier position that ordinarily, it should not  exceed   16.  We   thought  it necessary  to   state  the  correct legal  position     as  courts  and tribunals    are    using    higher multiplier as  in the  present case where   the   Tribunal   used   the multiplier of  24  which  the  High Court raised to 34, thereby showing lack of awareness of the background of the  multiplier system in Davies case."" Thus, we have to conclude that the annual income of the deceased  is  Rs.12,000/-  p.a.  and  he  would  have  spent http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 Rs.7,500/- towards  family  members  and  1/3  for  himself; thereby the  annual income  is taken  at Rs.9,000/- per year and multiplier  of 18 years which is the maximum in the case of the young person dying in an accident, has to be applied. The  claimants   would  get   Rs.  1.40  lakhs  towards  the compensation.   Since the claim is limited to Rs 1 lakh, the claimants  are entitled to get Rs. 1 lakh, the claimants are entitled to  Rs.1 lakh,  the claimants  are entitled  to get Rs.1 lakh  as compensation with interest at 6% p.a. from the date of the judgment of the High court. The appeal is accordingly allowed.  No. costs.","Ballav Kumar Sethi, a young man of 24 years was fatally knocked down by oil Tanker bearing registration No. TCV 667. The claim under section 110-A of the Motor Vehicle Act, 1939 was laid on April 30, 1983. Tribunal delivered the judgment awarding a sum of Rs. 1,00,000 to the appellant which was confirmed under appeal by the High Court.",special leave petitions,42.1
" J U D G M E N T (Arising out of SLP (C) No. 26765 of 2005) ARIJIT PASAYAT, J. Leave granted. Challenge in this appeal is to the order passed by a Division Bench of the Punjab and Haryana High Court dismissing the application for review filed in respect of the order in CWP No.17615 of 2001 which was dismissed on 12.8.2005. The said writ petition was dismissed on the ground that the writ petitioner was absent for about three years. The High Court found the writ petitioner to be a habitual absentee and, therefore, felt that he did not deserve any relief in the quantum of punishment.  It is to be noted that while issuing notice on 6.11.2001 the following order had been passed by the High Court: ""Learned counsel for the petitioner at the time of arguments stated that the petitioner has put in ten years of service and he has been deprived of the retiral benefits in view of the impugned order. He confines the prayer in the writ petition only to the quantum of punishment."" Learned counsel for the appellant submitted that the High Court is not right in holding that the review petition was not entertainable in view of the materials which were placed for consideration. Those materials clearly show that the High Court did not take note of the correct factual position while dismissing the writ petition. Learned counsel for the respondents submitted that the High Court has rightly held that the review petition was not maintainable. Challenge in this appeal is only to the order passed in the review application.  Such an appeal is not maintainable. In Shanker Motiram Nale v. Shiolalsing Gannusing Rajput [(1994) 2 SCC 753] it was observed as follows: ""The appeal is obviously incompetent.  It is against an order of a Division Bench of the http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 High Court rejecting the application for review of a judgment and decree passed by a learned Single Judge, who seems to have retired in the meantime. It is not against the basic judgment. Order 47 Rule 7 of CPC bars an appeal against the order of the court rejecting the review.  On this basis, we reject the appeal. No cost. I.A. No.1/93 (Application for substitution). No orders are necessary in view of the rejection of the appeal."" The position has been re-iterated in Suseel Finance & Leasing Co. v. M. Lata and Ors. [(2004) 13 SCC 675] and M.N. Haider and Ors. v. Kendriya Vidyalaya Sangathan and Ors. [(2004) 13 SCC 677]. It is stated by learned counsel for the appellant that the basic order dated 20.8.2004 passed by the High Court has been challenged by filing a special leave petition on 9.10.2006. However, dismissal of this present appeal shall not stand on the way of consideration of the Special Leave Petition stated to have been filed on 9.10.2006. The same shall be dealt with in accordance with law. The appeal is dismissed. No costs.","Challenge in this appeal is to the order passed by a Division Bench of the Punjab and Haryana High Court dismissing the application for review filed in respect of the order in CWP No.17615 of 2001. The High Court found the writ petitioner to be a habitual absentee and, therefore, felt that he did not deserve any relief in the quantum of punishment.",special leave petitions,44.45
" O R D E R Though  the  notice  was  sent  to  the  respondent  on September 28,  1993, it  came back  with an endorsement ""Not present. Hence  return to  sender"". It would be obvious that the respondent  is avoiding service. Notice must, therefore, be deemed to have been served on the respondent. Leave granted. The controversy  raised in  this case is covered by the decision  of   this  Court   in  Karnataka   Public  Service Commission &  Ors. vs.  B.M. Vijaya Shanker & Ors. [(1992) 2 SCC 206]. Following the  said decision, the appeal is allowed and the order of the Tribunal is set aside, but without costs.","The appeal is allowed and the order of the Tribunal is set aside, but without costs. Notice must, therefore, be deemed to have been served on the respondent. The controversy  raised in  this case is covered by the decision  of   this  Court   in Karnataka.",transfer,28.54
" JUDGMENT O R D E R CIVIL APPEAL NO.1243 OF 2008 (@ S.L.P.(C)No.6241/2006) Leave granted. Heard learned counsel for the parties. This appeal is directed against the final judgment and order dated 30th September, 2005, passed by the High Court of Judicature at Bombay, Bench at Aurangabad in Writ Petition No.1188 of 2004.  In the impugned order ultimately the Division Bench of the High Court passed the following order: ""In the result, the writ petition is allowed.  The impugned order dated 30.9.2002 passed by the Respondent No.2 is quashed and set aside.  We direct the Respondent No.4 to absorb the Petitioner as an excess employee under Rule 26 of the M.E.P.S. Act in any other recognized and aided private school.  The absorption shall be granted within a period of three months from today, failing which, on expiry of three months, the Education Officer shall start releasing salary in favour of the Petitioner."" We have carefully examined this order of the High Court.  It appears from the records that the order of the School Tribunal was an ex-parte order in which the present appellant was not a party.  It is also an admitted position that an application for recall of that ex-parte order passed by the School Tribunal has already been filed at the instance of the  appellant,  which has not yet been decided. ::2:: If that application is allowed and the order is recalled, there cannot be any dispute that the right that has been accrued to the present respondent shall automatically come to an end. On the other hand, if the application is rejected the respondent would be entitled to all benefits arising out of the said order. That  being  the  position,  we  dispose  of  this appeal by directing the School Tribunal to decide the said application for recall positively within three months from the date of supply of a copy of this order before the School Tribunal, without being influenced by any of the observations made by the High Court or any observation made by us in this order, and without granting unnecessary adjournment to either of the parties. The appeal is disposed of accordingly with no order as to costs.","This appeal is directed against the final judgment and order dated 30th September, 2005, passed by the High Court of Judicature at Bombay, Bench at Aurangabad in Writ Petition No.1188 of 2004. The absorption shall be granted within a period of three months from today, failing which the Education Officer shall start releasing salary in favour of the Petitioner.",civil,58.48
" JUDGMENT O R D E R (Arising out of SLP(C) NO.  4200/2007) Leave granted. The present appeal arises out of an interim order passed by the High Court.  From th e record, it is clear that Labour Court passed an award in favour of respondent- employees holding that provisions of Section 25-F of the Industrial Disputes Act, 1947 (for short, ‘the Act’) had not been complied with and granted relief by reinstating the respondents herein with full back wages.  The Industrial Court confirmed that order. Being aggrieved by the  said orders, the appellant approached the High Court by filing the writ petition.  The High Court issued rule nisi, but rejected the  application for stay.  The Division Bench of the High Court confirmed that order against which the present appeal is filed by way of special leave to appeal.  Notice was issued and ad- interim stay was granted. Heard learned counsel for the parties. Learned counsel for the appellant submits that an appropriate direction may be issue d to the High Court so that the main matter may be disposed of.  Meanwhile, ad-interim relief granted by this Court may be continued. ..2/- :2: Learned counsel for the respondents, on the other hand, strongly objects to the pray er of continuation of relief stating that if the High Court was satisfied and even if this Court is satisfied about the prima facie case by the appellant, an appropriate relief has to be granted to the workmen as provided under Section 17-B of the Act. On the facts and in the circumstances of the case and, particularly, when rule nisi is http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 issued, it would be appropriate, if we request the High Court to dispose of the  main matter as expeditiously as possible, preferably within a period of six months.  Ordered accordingly. The High Court will, however, hear the parties and pass an appropriate order exercising powers under  Section 17-B of the Act. The appeal is disposed of without observing anything on merits.  It is open to the parties to raise all contentions.","The High Court issued rule nisi, but rejected the application for stay. Notice was issued and ad- interim stay was granted. Learned counsel for the appellant submits that an appropriate direction may be issue d to the High Court.",special leave petitions,48.7
" O R D E R The petitioner  and the 8th respondent had filed a suit for perpetual  injunction restraining the respondents 1 to 7 from dispossessing  them from the suit land or part thereof. Respondents/defendants   filed    the   written    statement contending that  the petitioner  and the  8th respondent had trespassed into their land of an extent of 3 kanals and they are in  unlawful possession.  Thereby, they  raised  counter claim, in  the written  statement, for possession. The Trial Court, while dismissing the suit of the petitioners, granted decree for  possession of  two kanals,  two marlas  and  one biswas  comprising  survey  numbers  mentioned  therein.  On appeal, it  was confirmed and the High Court confirmed it in R.S.A. No.1190/94  on May  18, 1995. Thus this Special Leave Petition. The contention raised in the courts below was that in a suit for perpetual injunction, the respondents could not lay any counter  claim for  possession. Order  8 Rule 6(A)(1) of the C.P.C., 1908 as amended in 1976 reads thus: ""A defendant  in a suit may, in addition to his right of pleading a set-off under Rule 6,  set up  by way of counter-claim against the claim of the plaintiffs, any right or  claim in respect of a cause of action accruing to the defendant against the plaintiff either before or after the filing  of   the  suit  but  before  the defendant has  delivered his  defence or before the  time limited  for delivering his defence  has expired,  whether  such counter-claim is  in  the  nature  of  a claim for damages or not:- Provided that  such counter-claim  shall not exceed  the pecuniary  limits of the jurisdiction of the Court."" http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 It is  true that  Rule 6A(a) was introduced by Amendment Act of 1976.  Preceding the  amendment, it  was settled law that except in  a money claim, counter claim or set off cannot be set up  in other  suits. The  Law Commission  of  India  had recommended, to avoid multiplicity of the proceedings, right to the  defendants to  raise the plea of set off in addition to a  counter claim  in Rule 6 in the same suit irrespective of the fact whether the cause of action for counter claim or set off  had accrued to defendant either before or after the filing of  the suit.  The limitation  was that  the  counter claim or  set off  must be  pleaded by way of defence in the written statement  before the  defendant filed  his  written statement or  before  the  time  limit  for  delivering  the written statement has expired, whether such counter-claim is in the  nature of  a  claim  for  damages  or  not.  Further limitation was  that the counter-claim should not exceed the pecuniary limits  of the jurisdiction of the court. In other words, by laying the counter claim pecuniary jurisdiction of the court  cannot be  divested and the power to try the suit already entertained  cannot be  taken away  by accepting the counter  claim  beyond  its  pecuniary  jurisdiction..  Thus considered, we  hold that  in a  suit  for  injunction,  the counter-claim for  possession also  could be entertained, by operation of Order 8 Rule 6 (A)(1) of CPC. It is sought to be contended that the counter-claim was not filed  within the  time given  for laying  the same.  It would appear  from the  list  of  the  dates  given  by  the petitioner himself  that the  counter-claim was filed within two months from the date of the suit itself. Under these  circumstances, the  special leave petition is dismissed.","The petitioner and the 8th respondent had filed a suit for perpetual injunction restraining the respondents 1 to 7 from dispossessing  them from the suit land or part thereof. The Trial Court, while dismissing the suit of the petitioners, granted decree for possession of two kanals, two marlas and one biswas. On appeal, it was confirmed and the High Court confirmed it in R.S.A. No.1190/94.",special leave petitions,40.28
" JUDGMENT O R D E R CIVIL APPEAL  NO.4066-4067 OF 2003 WITH CIVIL APPEAL NO.4069 OF 2003 ACCOUNTANT GENERAL, RAJASTHAN              Appellant(s) VERSUS STATE OF RAJASTHAN & ORS.                          Respondent(s) CIVIL APPEAL NO. 9108 OF 2003 STATE OF RAJASTHAN & ORS.                          Appellant(s) VERSUS M/S BALAJI DISTILLERIES & ORS.             Respondent(s) We have heard learned counsel for the parties. In these appeals filed by the Comptroller & Auditor General of India, through the Accountant General, Rajasthan and the State of Rajasthan and others, Justice D.P. Wadhwa (retired Judge of this Court) was appointed as Arbitrator by this Court by Order dated 28th August, 2006.  He has given the Award on 28th February, 2007 and the same has been placed on record.  Certain objections under Section 34 have been filed by the State of Rajasthan as also by the claimants. -2- We have heard learned counsel for the parties at length and perused the record. Having regard to the facts and circumstances of these cases, we hold that the Award given by the Arbitrator does not require any interference by this Court. Consequently, we confirm the Award of the Arbitrator and dispose of all the appeals. There will be no order as to costs.","Justice D.P. Wadhwa (retired Judge of this Court) was appointed as Arbitrator by this Court by Order dated 28th August, 2006. He has given the Award on 28th February, 2007 and the same has been placed on record. Certain objections under Section 34 have been filed by the State of Rajasthan as also by the claimants. We have heard learned counsel for the parties at length and perused the record. We hold that the Award given by the Arbitrator does not require any interference.",appointment,37.78
" O R D E R Leave granted. This appeal  by special  leave arises from the order of the  Division  Bench  of  the  Patna  High  Court,  made  on 11.09.1996 in LPA No. 788/95. The admitted position is that the appellants came to be appointed as  Assistant Engineers  on daily  wages @ Rs.40/- per day on November 16, 1987. Subsequently, they were placed in the pay scale of Rs.880-1510/- per month, They came to be selected by  conducting examinations  and the  appointments, accordingly, came  to be  made. An  attempt was  made by 2nd respondent, Regional Development Authority to regularise the service and  the proposal  was sent  to the  Government  for acceptance.  The   Government  accepting  the  proposal  had referred the  Public service Commission did not agree to the regularisation of  their services, the appellants filed writ petition in  the High  Court for  a mandamus  directing  the authority to  regularise their  services. The  High Court in the impugned  order refused  to give  directions, Thus, this appeal by special leave. Mr. Gopal Subramaniam, learned senior counsel appearing for the  appellants, contends that Section 6(3) of the Bihar Regional Development  Authority Act,  1981 (  for short, the ‘Act’  )  gives  power  to  the  Authority  to  appoint  the Secretary and other officers and employees of the Authority. Under proviso  thereto, the  appointing  Authority  has  the power to  appoint any  person for a period not exceeding six months on  any post carrying the minimum salary of Rs. 500/- and above  after approval  of the  State Government  and the appointment though  for six months will be on regular basis. The authority  has not made any statutory rules for the mode of recruitment.  The advertisement  did  not  indicate  that these were temporary appointments. Therefore, the appellants are entitled  to be  regularised in  the service. We find no force in the contention. Section 6(3)  of the Act only empowers the Authority to appoint the  Secretary, and  other officers and employees of the Authority.  The  power  under  the  proviso  is  only  a breathing  elbow  power  given  to  the  Authority  to  make temporary appointments  so that  the work of the Development http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 Authority goes  on pending  recruitment. Therefore, when the advertisement was made for the recruitment, it was obviously in furtherance  of the  recruitment,  it  was  obviously  in furtherance of  the power  flown under  the  proviso  for  a limited period. Thereby, the appointments obviously are only temporary  appointments   had  sought   assistance  of   the Government for  regularisation which  was negatived  by  the Public Service  Commission. It  is seen that these posts are within  the   purview  of  the  Public  Service  Commission. Therefore, the  Government sought  the  concurrence  of  the Public Service  Commission and the Public Service Commission had not  concurred and,  in our  view,  correctly  with  the request   made    by   the    Government.   Therefore,   any regularisation in violation of the recruitment to be made by the Public  Service Commission  is in  contravention of  the law. The  High Court  therefore, rightly  did not  issue any mandamus  for   regularisation  of   the  services  made  in contravention of  the Rules  to violate  and no  mandamus or direction would be issued to violate law. The appeal is accrdingly dismissed. No costs.","The appeal is accrdingly dismissed. No costs. The appeal  by special leave arises from the order of the Division  Bench of the Patna High  Court,  made  on 11.09.1996 in LPA No. 788/95. The admitted position is that the appellants came to be appointed as  Assistant Engineers on daily wages @ Rs.40/- per day.",special leave petitions,26.64
" O R D E R The plaintiff  in O.S.  No.  178  of  1958,  Additional Munsiff Court,  Ernakulam --  appellant in  S.A. No.  669 of 1976 --  is the  appellant in  this  appeal.  The  appellant belongs to  Edappally Padinjare  Warriam. His main prayer in the suit  was to  declare that  the  appellant’s  family  is entitled to  do Kazhakam  services in the two temples as the family has hereditary rights in that regard. The trial court held that  the plaintiff  or his family had no Karaima right (hereditary right)  in the  temples as claimed. It is stated in the appeal memorandum that both the courts held thus:- ""(i)....the plaintiff’s  family has been performing  the  Kazhakam  (2) the  plaintiff’s  family  had  been given Mala Virthy by the swaroopam, (3) that the plaintiff’s family has been performing the Kazhakam in the two temples  from  time  immemorial for  which   they  had  been  given viruthy tenure. But  after   recording  all   these findings  concurrently  the  courts also  held   that  the  plaintiff’s family has  no hereditary right for the  performance  of  Kazhakam  and that the  plaintiff could  be hired and fired  at the sweet will by the defendant                    No.1."" 2.   The appellant  filed S.A. bio. 669 of 1976 and assailed the judgments  and decrees  of the courts below. The learned single Judge  of the  High Court,  in  paragraph  2  of  the judgment, observed thus:- ""2.   So  far as the main relief of granting  a  declaration  that  the plaintiff’s  tarward  has  got  the right to do kazhakam service in the two   temples    in   question   is concerned, it  appears to  me  that that relief  is now  irrelevant  in view  of  the  Kerala  Joint  Hindu http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 Family System (Abolition) Act 1975, Acc 30  of 1976. That Act abolishes the joint tenancy of tarward and it can  no   more.  to  be  said  that marumakkathayam tarward  with joint tenancy as  its feature  exists any move. In  that view  no declaration can  be  given  in  favour  of  the tarward  as   sought  for   by  the plaintiff. That is the basic relief sought for,  the other  reliefs are based on that relief."" (emphasis supplied) However, the  court granted  a decree  for recovery  of Rs.100/- from  the first defendant and a slight modification was thus  made. The  sum of Rs.100/- was paid in lieu of the notice, for the termination of the service of the appellant. 3.   We heard  counsel. The  appellant has  not  sought  any amendment of  the plaint either in the High Court or in this Court. The  main prayer is for grant of declaration that the appellant’s  tarwad   (family)  has  the  right  to  perform Kazhakam services  in the  two temples.  The High  Court was right in  holding  that  the  Kerala  Act  30  of  1976  has abolished the  joint family  system. The  tarwad has  become extinct. No  declaration can  be given  in favour  of a non- existing entity.  On this  aspect, We  concur with  the High Court and dismiss this appeal with no order as to costs. However, as  to whether the Karaima right (or the hereditary right ) will devolve on the members of the erstwhile tarward as tenants in common does not arise for consideration in the present appeal. The said issue is left open",The appeal was filed by Edappally Padinjare Warriam. He wanted to declare that his family was entitled to do Kazhakam services in the two temples. But the High Court said that the Kerala Act 30 of 1976 has abolished the joint family system.,barge hire charges,19.6
" O R D E R Leave granted. Ms. Sangeeta  Kalra and  Mr. Sudhir  Kalra appeared  on behalf of the Society. In view of the judgment of this Court in D.D.A. vs. Grihsthapana Cooperative Group Housing Society Ltd. [JT  1995 (2)  SC  530],  the  appeal  is  allowed  and forfeiture to the extent of rupees five lakhs is upheld. The remaining amount would be refunded by the appellant within a period  of   four  weeks   from  today,  failing  which  the respondent would  be entitled  for interest  @ 18% per annum from that  date till payment. In the facts and circumstances of the case, we make no order as to costs.",The remaining amount would be refunded by the appellant within a period of   four weeks   from today. The respondent would be entitled  for interest  @ 18% per annum from that  date till payment.,special leave petitions,28.91
" O R D E R Delay Condoned. Application for  amendment in  substitution application is allowed. The snort  question that  arose for  decision  in  this appeal is  whether the  High Court  has correctly decided by the impugned  judgment in  S.A. No.  115 of  1968  that  the appeal  preferred   by  the   appellant-Municipal   Council, Mandsaur stood  abated  in  view  of  the  fact  that  legal representatives of  one of the co-owners were not brought on record  when   the  appeal  was  pending  before  the  lower appellate court. It may  be stated  were that initially three plaintiffs being droners  claiming to  be the owners of the joint Hindu family property,  filed a  suit against  Municipal  Council. Mandsaur for a permanent injunction by asserting their title to the  property. Such  suit was  decreed by the trial court and the  Municipality thereafter  preferred an appeal before the lower  appellate court.  During  the  pungency  of  such appeal. one of the three brothers had died. The Municipality did not  bring the  heirs and  legal representatives  of the deceased brother  on record  despite knowledge of such death but made  an application  that  the  name  of  the  deceased brother should  be deleted  from the  array of  parties. The question thereafter  was raised  by the remaining plaintiffs that the  appeal had abated as a whole because the heirs and legal representatives  of one  of the co-owners had not been brought on  record. Such  contention has  ben upheld  by the impugned decision. Mr. S.K. Gambhir, the learned counsel appearing for the appellant has  contended before  us that since in the plaint the plaintiffs  had stated  that the  property was  a  joint Hindu family  property, such  property must  be deemed to be represented by  the Karta  of the  joint family  and as  the eldest brother  was alive,  it must  be held that such joint Hindu family  property was represented by the eldest brother and in  that case, there was no question of abatement of the appeal as a whole. We are  however unable to accept such contention of Mr. Gambhir for  the reason  that from the statement made in the http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 plaint it  cannot be  definitely held  that the property was coparceners property  which could be represented by a karta. It has  been alleged  in the  plaint that after the death of the father, all the three partners became owners of the said joint Hindu  family property.  It may be indicated were that if it  was a  codarcenery property  then the sons would have been codarceners  even before  the death  of the  father and there was  no necessity to wait will the death of the father to get  ownership of  the property.  The  averments  in  the plaint really  means that  the  disputed  property  was  the undivided property  of the  saic three  joint owners who had inherited the father’s interest after his death. That apart, even it is assumed that it was codarcenary property there is nothing an  record to  indicate that  any one  member or the eldest male  member of  the family  was acting as a karta of the joint  family. On  the contrary, it appears that all the co-owners filed  the said  suit for injunction, which on the face of  it, only  indicates that  all  of  them  intent  to exercise their  right as  co-owners of the property and they have not  authorised  any  one  of  them  to  represent  the property as  a karta  of the joint Hindu family property. In the aforesaid  circumstances, the decision of the High Court cannot be saic to be erroneous for which any interference by this Court  is called  for. The appeal, therefore, falls and is dismissed without any order as to costs.",Three droners claimed to be the owners of the joint Hindu family property. They filed a suit against Municipal  Council. Mandsaur for a permanent injunction. The suit was decreed by the trial court and the Municipality thereafter preferred an appeal before the lower appellate court.,transfer,30.24
" JUDGEMENT QYADRI, J. The appellant and two others, namely, Daljeet  Singh and  Ganeshi  were tried for offences, under Section 302 and Section 302 r/w Section 34 I.P.C.  by the learned Additional Session Judge No.1, Sri Ganganagar.   The  gravamen  of  the charge  against them was that the said three persons came on a motor cycle; Ganeshi and the other caught hold of  Kailash Soni and  exhorted  Daljeet  Singh  to  strike him.  On that Daljeet Singh gave 2-3 blows with his kripan to kailash Soni which  resulted  in  his  instantaneous  death  (hereinafter referred to as ’the deceased’).  On considering the evidence produced  by the prosecution, the learned Additional Session Judge convicted Daljeet Singh under Section  302;  appellant and  Ganesh  under  Section  302 read with Section 34 I.P.C. and sentenced each one of them to life imprisonment and fine of Rupees  five  hundred,  in  default  thereof  to  further undergo rigorous imprisonment for six months.  Against their conviction  and  sentence,  they  filed  appeal  in the High Court.  By judgment and order of March 17,  1992,  the  High Court  upheld the conviction and order of the High Court, by special leave the appellant has filed this appeal. Mr.   Jayant  Bhushan,  the  learned counsel for the appellant, submitted that as the only overt  act  attributed to  him was that he caught hold of the deceased and exhorted Daljeet by saying ’Maro"", so it cannot be  said  that  there was common  intention  to  kill the deceased:  the appellant only said ’Maro’, which did not mean ’to  kill’,  therefore, he  ought  not to have been convicted under Section 302 read with Section 34 IPC.   To  examine  the  contention  of  the learned  counsel,  we  have  perused  the  First Information Report and the  statement  of  Mohan  Mujral  (pw-1).    The relevant allegation in the F.I.R.  reads as follows: ""At this both Pappu  (appellant)  and  Ganeshi  said strike at his Daljit"". PW - 1 deposed before the Court. ""when  we  raised  the  alarm, both Pappu Pandit and Ganeshi  instigated  Daljit  Singh  ""Strike’.   They exhorted  him  to  strike at Kailash. At this Daljit took out a short kripan from under the stockings  he http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 had worn. He, then, in a jiffy struck at Kailash 2-3 blows on the left portion of his body’. Thus,  from the averments in the FIR as well as from the statement of PW-1, it cannot be said that the  appellant had shared  common  intention  to  kill  the  deceased.  The appellant might not have been known that Daljeet  Singh  was having a  kripan  under  his stockings.  The instigation was only ’to strike’ and as such his  conviction  under  Section 302 read  with  Section 34 IPC is not sustainable.  [See Jai Narain Mishra vs.  State of Bihar (AIR  1972  SC  1764)  and Matadio vs.    State  of  Maharashtra (Jt 1998 (5) SC 264)]. The conviction of the appellant under  Section  302/34,  IPC is,  therefore,  set  aside;  instead  he is convicted under Section 324 read with Section 110 IPC and sentenced  to  the period already  undergone.    His  bail  bonds  shall  stand cancelled and he be released forthwith unless he is required to be incarcarated  in  any  other  case.    The  appeal  is accordingly disposed of.","The appellant and two others, namely, Daljeet  Singh and  Ganeshi were tried for offences, under Section 302 and Section 302 r/w Section 34 I.P.C. The appellant might not have been known that Daljit  Singh was having a  kripan under  his stockings. The instigation was only ’to strike’ and as such his conviction under  Section 302 read  with Section 34IPC is not sustainable.",special leave petitions,23.05
